Media;Datumlabel;Begindatum;Materiaal en techniek;Hoogte;Breedte;Diepte;Afmetingenlabel
1;1950-1979;1950;leer, metaal, textiel;28;42;18;H 28 X B 42 X D 18 cm.
1;1950-1994;1950;leer, textiel, metaal;32;42;10;H 32 X B 42 X D 10 cm.
1;1980-1990;1980;kunsttsof, kleurstof;35;40;7;H 35 X B 40 X D 7,0 cm.
1;ca. 1957;1957;leer, textiel, metaal;39;42;7;H 39 X B 42 X D 7,0 cm.
1;circa 1958;1958;leer, metaal, textiel;36;42;13;H 36 X B 42 X D 13 cm.
1;1980-1994;1980;textiel, leer, metaal;44;32;8;H 44  X B 32 X D 8,0  cm.
1;circa 1966;1966;leer, verfstof, metaal, textiel;34;32;5;H 34 X B 32 X D 5,0 cm.
2;1959;1959;leer, verfstof, textiel, metaal;36;40;6;H 36 X B 40 X D 6,0 cm.
2;1970-1994;1970;leer, metaal, textiel;34;41;13;H 34 X B 41 X D 13 cm.
1;1950-1994;1950;leer, textiel, metaal;35;40;11;H 35 X B 40 X D 11 cm.
1;1970-1994;1970;leer, metaal, textiel;38;42;15;H 38 X B 42 X D 15 cm.
1;1980-1994;1980;kunststof, textiel, kleurstof;24;31;5.5;H 24 X B 31 X D 5,5 cm.
1;1950-1994;1950;leer, textiel, metaal;32;42;7;H 32 X B 42 X D 7,0 cm.
1;1970-1994;1970;textiel, metaal;32;40;5;H 32 X B 40 X D 5,0 cm.
1;ca. 1975;1975;leer, metaal, textiel, kleurstof;28;32;4;H 28 X B 32 X D 4,0 cm.
1;1910-1940;1910;leer, textiel, metaal;32;42;7;H 32 X B 42 X D 7,0 cm.
1;1960-1980;1960;textiel, metaal;32;37;9;H 32 X B 37 X D 9,0 cm.
1;1950-1959;1950;leer, metaal, textiel;30;38;8;H 30 X B 38 X D 8 cm.
1;1960-1979;1960;leer, metaal, textiel;34;42;14;H 34 X B 42 X D 14cm.
1;1970-1990;1970;leer, textiel, metaal;30;41;12;H 30 X B 41 X D 12 cm.
1;1970-1990;1970;leer, textiel, metaal;37;42;8;H 37 X B 42 X D 8,0 cm.
1;1980-1994;1980;textiel, kunststof, kleurstof, metaal;54;42;10;H 54 X B 42 X D 10 cm.
1;1970-1994;1970;textiel, metaal;33;38;7;H 33 X B 38 X D 7,0 cm.
1;1980-1994;1980;kunststof, metaal;35;32;7;H 35 X B 32 X D 7,0 cm.
1;1980-1994;1980;leer, metaal, textiel;50;43;8;H 50 X B 43 X D 8,0 cm.
1;1960-1980;1960;textiel, metaal;26;29;8;H 26 X B 29 X D 8,0 cm.
1;1970-1980;1970;leer, metaal, textiel;37;42;10;H 37 X B 42 X D 10 cm.
1;1960-1980;1960;textiel;39;27;6;H 39 X B 27 X D 6,0 cm.
1;1970-1980;1970;leer, textiel, metaal;35;43;16;H 35 X B 43 X D 16 cm.
1;1950-1970;1950;leer, textiel, metaal;42;32;8;H 42 X B 32 X D 8,0 cm.
1;1970-1980;1970;leer, textiel, metaal;34;42;13;H 34 X B 42 X D 13 cm.
1;1970-1990;1970;leer, textiel, metaal;32;42;14;H 32 X B 42 X D 14 cm.
